,4.0_4_corr,4.0_4_pval,4.0_4_qval,4.0_4_ci_low,4.0_4_ci_high
C19orf77,0.513082,0.00E+00,0.00E+00,0.499641,0.526275
PRSS57,0.503943,0.00E+00,0.00E+00,0.490335,0.517305
IGLL1,0.466397,0.00E+00,0.00E+00,0.452135,0.480421
MPO,0.452515,0.00E+00,0.00E+00,0.438024,0.466772
PRTN3,0.435356,0.00E+00,0.00E+00,0.420592,0.44989
AZU1,0.433106,0.00E+00,0.00E+00,0.418307,0.447676
CTSG,0.429843,0.00E+00,0.00E+00,0.414993,0.444464
ELANE,0.425286,0.00E+00,0.00E+00,0.410366,0.439978
SPINK2,0.396991,0.00E+00,0.00E+00,0.381655,0.412108
RP11-620J15.3,0.389263,0.00E+00,0.00E+00,0.373819,0.404491
MS4A3,0.375355,0.00E+00,0.00E+00,0.359721,0.390778
STMN1,0.342933,0.00E+00,0.00E+00,0.326885,0.358783
KIAA0101,0.34254,0.00E+00,0.00E+00,0.326487,0.358395
NUCB2,0.33572,0.00E+00,0.00E+00,0.319585,0.35166
MYB,0.328747,5.40E-300,9.46E-298,0.31253,0.344772
PLAC8,0.286337,7.38E-224,9.70E-222,0.269658,0.302843
CST7,0.259971,4.96E-183,5.02E-181,0.243039,0.276745
MGST1,0.243523,6.28E-160,5.50E-158,0.226445,0.26045
RNASE3,0.231371,5.48E-144,4.12E-142,0.214192,0.248406
RNASE2,0.229334,2.08E-141,1.52E-139,0.21214,0.246387
KIAA0125,0.228141,6.57E-140,4.55E-138,0.210937,0.245204
CLEC11A,0.225644,8.44E-137,5.69E-135,0.20842,0.242728
UBE2C,0.22243,7.42E-133,4.88E-131,0.205181,0.239541
HMGB2,0.220078,5.21E-130,3.24E-128,0.20281,0.237208
C1orf228,0.220071,5.30E-130,3.24E-128,0.202804,0.237202
HSPB1,0.219523,2.41E-129,1.44E-127,0.202252,0.236658
SERPINB10,0.218296,7.06E-128,4.13E-126,0.201016,0.235441
TOP2A,0.216415,1.20E-125,6.72E-124,0.19912,0.233576
DUT,0.215714,8.04E-125,4.40E-123,0.198414,0.23288
CENPF,0.205577,3.24E-113,1.67E-111,0.188202,0.222823
HIST1H4C,0.204336,7.72E-112,3.76E-110,0.186953,0.221592
PTTG1,0.189897,1.75E-96,7.53E-95,0.172415,0.20726
MKI67,0.184102,1.14E-90,4.63E-89,0.166582,0.201505
RETN,0.175343,3.00E-82,1.11E-80,0.157769,0.192806
H2AFZ,0.169634,5.33E-77,1.92E-75,0.152026,0.187134
7SK-2,0.160993,2.08E-69,6.75E-68,0.143336,0.178547
HSPD1,0.160019,1.40E-68,4.49E-67,0.142357,0.17758
SELL,0.158101,5.80E-67,1.84E-65,0.140429,0.175673
GAPDH,0.156566,1.11E-65,3.42E-64,0.138885,0.174147
HSPA1B,0.155132,1.69E-64,5.16E-63,0.137443,0.172721
HSP90AA1,0.153939,1.59E-63,4.81E-62,0.136244,0.171536
HSPH1,0.152543,2.16E-62,6.37E-61,0.134841,0.170148
FAM101B,0.149617,4.67E-60,1.34E-58,0.1319,0.167239
RGL4,0.147287,3.13E-58,8.86E-57,0.129558,0.164922
EMB,0.145303,1.06E-56,2.95E-55,0.127564,0.162949
NFE2,0.143396,3.01E-55,8.16E-54,0.125647,0.161052
HSPA1A,0.137341,8.99E-51,2.27E-49,0.119564,0.15503
RPL36,0.13557,1.68E-49,4.08E-48,0.117785,0.153269
HSPE1,0.134504,9.59E-49,2.31E-47,0.116713,0.152207
DNAJB1,0.132609,2.05E-47,4.85E-46,0.114811,0.150323
BEX2,0.125379,1.60E-42,3.46E-41,0.107549,0.143129
TUBA1B,0.122325,1.54E-40,3.19E-39,0.104482,0.140089
AREGB,0.121358,6.38E-40,1.29E-38,0.103511,0.139126
CEBPE,0.121279,7.17E-40,1.44E-38,0.103431,0.139048
HIST1H1E,0.121132,8.87E-40,1.77E-38,0.103284,0.138902
ATP2A3,0.120752,1.55E-39,3.06E-38,0.102902,0.138523
FABP5,0.119443,1.03E-38,1.99E-37,0.101589,0.137221
RMRP,0.119272,1.32E-38,2.52E-37,0.101417,0.13705
SLPI,0.116196,1.03E-36,1.90E-35,0.098328,0.133988
MCTP2,0.115128,4.57E-36,8.35E-35,0.097257,0.132926
PADI4,0.1151,4.76E-36,8.60E-35,0.097228,0.132897
HNRNPH1,0.115097,4.78E-36,8.60E-35,0.097225,0.132894
KBTBD11,0.112565,1.53E-34,2.69E-33,0.094684,0.130374
HSP90AB1,0.112176,2.60E-34,4.50E-33,0.094293,0.129986
NKG7,0.111054,1.17E-33,2.01E-32,0.093167,0.12887
DNAJA4,0.109579,8.30E-33,1.38E-31,0.091687,0.127401
LBR,0.106777,3.18E-31,5.20E-30,0.088874,0.12461
PTPRCAP,0.10367,1.62E-29,2.55E-28,0.085757,0.121516
HOPX,0.100937,4.67E-28,7.22E-27,0.083015,0.118794
PRAM1,0.09366,2.30E-24,3.35E-23,0.075714,0.111545
HBB,0.092785,6.13E-24,8.72E-23,0.074837,0.110674
KIF23,0.091979,1.50E-23,2.12E-22,0.074029,0.109871
UBB,0.091282,3.23E-23,4.47E-22,0.073329,0.109176
SLC44A1,0.090259,9.85E-23,1.33E-21,0.072303,0.108156
IGLL5,0.089803,1.61E-22,2.15E-21,0.071845,0.107702
TWISTNB,0.089689,1.82E-22,2.42E-21,0.071732,0.107589
CEBPA,0.089441,2.38E-22,3.15E-21,0.071483,0.107342
CEACAM4,0.089387,2.52E-22,3.32E-21,0.071428,0.107287
WRNIP1,0.088733,5.08E-22,6.65E-21,0.070772,0.106635
HGF,0.086406,5.87E-21,7.31E-20,0.068439,0.104317
MNDA,0.085968,9.23E-21,1.14E-19,0.067999,0.10388
MAPK14,0.085862,1.03E-20,1.27E-19,0.067893,0.103775
SOX4,0.085675,1.25E-20,1.53E-19,0.067706,0.103588
GRB10,0.084751,3.21E-20,3.84E-19,0.06678,0.102668
EDEM3,0.082875,2.12E-19,2.47E-18,0.064898,0.100798
CES1,0.082805,2.28E-19,2.62E-18,0.064828,0.100728
S100P,0.081507,8.19E-19,9.13E-18,0.063527,0.099434
SRSF9,0.081459,8.58E-19,9.52E-18,0.063479,0.099387
CFD,0.079818,4.21E-18,4.57E-17,0.061833,0.097751
ZSCAN16-AS1,0.079531,5.53E-18,5.92E-17,0.061546,0.097465
P2RY8,0.078764,1.15E-17,1.22E-16,0.060776,0.0967
SPEF2,0.077729,3.04E-17,3.16E-16,0.059739,0.095668
TSPO,0.077311,4.48E-17,4.62E-16,0.05932,0.095252
RAB27A,0.077118,5.36E-17,5.49E-16,0.059126,0.095059
SLBP,0.076936,6.35E-17,6.44E-16,0.058944,0.094878
AC009005.2,0.075224,3.04E-16,3.04E-15,0.057228,0.093171
RP11-195F19.5,0.074677,4.97E-16,4.95E-15,0.05668,0.092626
HP,0.074194,7.65E-16,7.57E-15,0.056195,0.092144
ROGDI,0.073801,1.09E-15,1.07E-14,0.055802,0.091753
CALR,0.072086,4.88E-15,4.72E-14,0.054082,0.090043
SMCHD1,0.071794,6.29E-15,6.06E-14,0.05379,0.089752
C19orf59,0.071428,8.62E-15,8.28E-14,0.053423,0.089386
RAB37,0.070512,1.88E-14,1.79E-13,0.052505,0.088474
7SK-1,0.070353,2.16E-14,2.04E-13,0.052345,0.088314
RN7SL1,0.070005,2.89E-14,2.71E-13,0.051997,0.087968
METTL9,0.069976,2.96E-14,2.76E-13,0.051967,0.087938
SLC25A29,0.069829,3.35E-14,3.12E-13,0.051821,0.087792
MSRB1,0.068739,8.32E-14,7.62E-13,0.050729,0.086706
FOLR3,0.067872,1.70E-13,1.54E-12,0.049859,0.085841
PDE4D,0.067112,3.15E-13,2.76E-12,0.049098,0.085083
RNF24,0.067055,3.30E-13,2.88E-12,0.04904,0.085026
MFGE8,0.066829,3.96E-13,3.43E-12,0.048814,0.0848
GMCL1,0.066654,4.55E-13,3.94E-12,0.048639,0.084626
HEBP2,0.066004,7.65E-13,6.58E-12,0.047987,0.083978
EREG,0.065893,8.36E-13,7.12E-12,0.047876,0.083867
GOLPH3L,0.065283,1.35E-12,1.14E-11,0.047265,0.083259
ADRBK1,0.064106,3.39E-12,2.79E-11,0.046086,0.082085
ZNF770,0.063799,4.29E-12,3.53E-11,0.045778,0.081779
LRRC45,0.062646,1.03E-11,8.32E-11,0.044622,0.080628
BASP1,0.061917,1.79E-11,1.41E-10,0.043892,0.079902
BAG3,0.0616,2.27E-11,1.77E-10,0.043575,0.079586
LYL1,0.061233,2.97E-11,2.31E-10,0.043207,0.07922
QPCT,0.061091,3.30E-11,2.56E-10,0.043065,0.079078
TRIM37,0.059417,1.12E-10,8.40E-10,0.041388,0.077408
FBXO45,0.059407,1.13E-10,8.41E-10,0.041378,0.077398
RPPH1,0.05935,1.17E-10,8.71E-10,0.04132,0.077341
TTLL12,0.059325,1.19E-10,8.84E-10,0.041295,0.077316
INTS1,0.058842,1.68E-10,1.24E-09,0.040812,0.076835
TNRC18,0.058224,2.61E-10,1.89E-09,0.040192,0.076218
ZFAND2A,0.058104,2.84E-10,2.04E-09,0.040073,0.076098
CRLS1,0.057964,3.13E-10,2.24E-09,0.039932,0.075959
1-Mar,0.057807,3.50E-10,2.49E-09,0.039774,0.075801
BTBD2,0.057621,3.98E-10,2.83E-09,0.039588,0.075616
AGTRAP,0.057536,4.22E-10,2.99E-09,0.039503,0.075531
TSPAN2,0.057289,5.01E-10,3.53E-09,0.039256,0.075285
MDM1,0.056964,6.28E-10,4.39E-09,0.03893,0.074961
SNTB1,0.056795,7.05E-10,4.92E-09,0.038761,0.074792
PCNX,0.056789,7.08E-10,4.93E-09,0.038755,0.074786
RBM26,0.056496,8.66E-10,6.01E-09,0.038461,0.074494
RP11-660L16.2,0.056432,9.05E-10,6.26E-09,0.038397,0.07443
ALOX5AP,0.056226,1.04E-09,7.13E-09,0.038191,0.074225
KIAA0195,0.056169,1.08E-09,7.39E-09,0.038133,0.074167
S100A12,0.056095,1.14E-09,7.75E-09,0.03806,0.074094
NDRG1,0.055809,1.38E-09,9.38E-09,0.037774,0.073809
TESC,0.055535,1.66E-09,1.13E-08,0.037498,0.073535
TSPYL4,0.054897,2.55E-09,1.71E-08,0.03686,0.072899
FRY,0.054499,3.32E-09,2.21E-08,0.036461,0.072501
TBC1D24,0.054102,4.31E-09,2.85E-08,0.036063,0.072106
CPNE2,0.053359,6.99E-09,4.55E-08,0.035319,0.071364
SEC16A,0.052743,1.04E-08,6.63E-08,0.034702,0.070749
TACC3,0.052691,1.07E-08,6.84E-08,0.034651,0.070698
LRP3,0.051781,1.91E-08,1.20E-07,0.033738,0.069789
EPHA1-AS1,0.051769,1.93E-08,1.21E-07,0.033727,0.069778
CTC-425F1.4,0.051603,2.14E-08,1.32E-07,0.03356,0.069612
PDSS1,0.05156,2.20E-08,1.35E-07,0.033518,0.06957
RHOU,0.051461,2.34E-08,1.43E-07,0.033419,0.069471
ELMOD2,0.051383,2.46E-08,1.50E-07,0.03334,0.069393
FUT7,0.051293,2.60E-08,1.58E-07,0.03325,0.069303
PUM2,0.050895,3.33E-08,2.02E-07,0.032852,0.068906
C21orf91,0.050848,3.42E-08,2.07E-07,0.032804,0.068859
RAB3D,0.050815,3.49E-08,2.11E-07,0.032772,0.068826
TTN-AS1,0.050636,3.90E-08,2.35E-07,0.032592,0.068647
STK39,0.050427,4.44E-08,2.66E-07,0.032383,0.068439
ARHGAP19,0.050376,4.58E-08,2.74E-07,0.032332,0.068388
QSOX1,0.050231,5.00E-08,2.98E-07,0.032187,0.068243
OGT,0.050046,5.60E-08,3.33E-07,0.032001,0.068059
C11orf82,0.049998,5.77E-08,3.42E-07,0.031953,0.068011
IRAK3,0.049977,5.84E-08,3.45E-07,0.031932,0.06799
EIF4E3,0.049858,6.28E-08,3.70E-07,0.031813,0.067871
IGJ,0.049703,6.90E-08,4.05E-07,0.031657,0.067716
LMO2,0.04942,8.19E-08,4.77E-07,0.031374,0.067434
MTRNR2L1,0.049235,9.15E-08,5.31E-07,0.031189,0.067249
CDA,0.048907,1.11E-07,6.42E-07,0.03086,0.066922
EXOC6,0.048353,1.55E-07,8.88E-07,0.030306,0.066369
MED13L,0.048328,1.57E-07,8.99E-07,0.030281,0.066344
PAQR4,0.048178,1.71E-07,9.80E-07,0.030131,0.066195
CMTM4,0.048143,1.75E-07,9.98E-07,0.030096,0.06616
OSM,0.048134,1.76E-07,1.00E-06,0.030086,0.066151
SERPINB2,0.048108,1.79E-07,1.01E-06,0.030061,0.066125
VARS2,0.047775,2.17E-07,1.23E-06,0.029727,0.065792
DEAF1,0.047754,2.20E-07,1.24E-06,0.029706,0.065772
C17orf70,0.047636,2.35E-07,1.32E-06,0.029588,0.065654
HSPA13,0.047544,2.48E-07,1.39E-06,0.029495,0.065561
TMX4,0.047523,2.51E-07,1.40E-06,0.029474,0.06554
CUL4A,0.04748,2.57E-07,1.43E-06,0.029432,0.065498
PHF20L1,0.047322,2.82E-07,1.55E-06,0.029273,0.06534
SLC2A3,0.047194,3.04E-07,1.66E-06,0.029145,0.065212
LONP1,0.046931,3.53E-07,1.92E-06,0.028882,0.06495
ZNF512,0.046608,4.25E-07,2.30E-06,0.028558,0.064627
MCMBP,0.046594,4.28E-07,2.31E-06,0.028544,0.064614
PCYT2,0.04659,4.30E-07,2.31E-06,0.02854,0.064609
NUDT4,0.046484,4.56E-07,2.44E-06,0.028434,0.064504
RECQL5,0.046468,4.60E-07,2.46E-06,0.028418,0.064488
NUP153,0.046362,4.89E-07,2.60E-06,0.028311,0.064382
SENP1,0.045662,7.25E-07,3.81E-06,0.027611,0.063684
TIA1,0.045631,7.38E-07,3.86E-06,0.02758,0.063652
LGALS12,0.045485,8.00E-07,4.17E-06,0.027433,0.063507
B4GALT5,0.045269,9.02E-07,4.65E-06,0.027217,0.063291
RRP12,0.04506,1.01E-06,5.19E-06,0.027008,0.063082
SLCO4C1,0.044919,1.09E-06,5.57E-06,0.026867,0.062942
USP20,0.044563,1.33E-06,6.75E-06,0.026511,0.062587
RALGAPA2,0.044551,1.34E-06,6.79E-06,0.026498,0.062574
PIGQ,0.044346,1.50E-06,7.55E-06,0.026293,0.06237
CKAP4,0.04413,1.68E-06,8.47E-06,0.026076,0.062154
GLE1,0.044088,1.72E-06,8.65E-06,0.026035,0.062112
HIPK1,0.044053,1.75E-06,8.79E-06,0.026,0.062078
MIR142,0.044034,1.77E-06,8.87E-06,0.025981,0.062059
NSUN6,0.043967,1.84E-06,9.14E-06,0.025914,0.061992
UBA7,0.043953,1.85E-06,9.19E-06,0.025899,0.061977
C11orf21,0.043893,1.91E-06,9.46E-06,0.02584,0.061918
TMPO-AS1,0.043803,2.01E-06,9.89E-06,0.02575,0.061828
ZCCHC3,0.043727,2.09E-06,1.03E-05,0.025673,0.061752
HAL,0.043615,2.22E-06,1.08E-05,0.025561,0.06164
TRIB3,0.043609,2.23E-06,1.08E-05,0.025555,0.061634
ANKRD13D,0.043473,2.40E-06,1.16E-05,0.025419,0.061498
NUPL1,0.043453,2.42E-06,1.17E-05,0.025399,0.061478
VSTM1,0.043407,2.48E-06,1.20E-05,0.025353,0.061433
CARS2,0.043366,2.54E-06,1.22E-05,0.025312,0.061392
HK2,0.043321,2.60E-06,1.25E-05,0.025266,0.061347
SDCCAG3,0.042836,3.36E-06,1.59E-05,0.024781,0.060862
CD96,0.042828,3.37E-06,1.59E-05,0.024773,0.060854
SLC36A4,0.042817,3.39E-06,1.60E-05,0.024762,0.060844
PIM1,0.042682,3.64E-06,1.71E-05,0.024627,0.060709
LY75,0.042362,4.31E-06,2.01E-05,0.024307,0.06039
TUG1,0.042157,4.79E-06,2.23E-05,0.024102,0.060185
CTDNEP1,0.041768,5.85E-06,2.71E-05,0.023712,0.059797
ASB1,0.041767,5.86E-06,2.71E-05,0.023711,0.059796
CPD,0.041666,6.17E-06,2.84E-05,0.02361,0.059695
PSPC1,0.041578,6.45E-06,2.96E-05,0.023522,0.059608
MAP2K6,0.041481,6.79E-06,3.10E-05,0.023424,0.05951
ZDHHC2,0.041473,6.81E-06,3.11E-05,0.023416,0.059502
LINC01122,0.041343,7.28E-06,3.30E-05,0.023286,0.059372
POLE4,0.040898,9.12E-06,4.11E-05,0.022841,0.058928
SLC38A10,0.040853,9.33E-06,4.20E-05,0.022796,0.058883
ZNF248,0.040841,9.39E-06,4.21E-05,0.022784,0.058872
NLRC5,0.040806,9.56E-06,4.28E-05,0.022748,0.058836
IER5,0.040758,9.79E-06,4.38E-05,0.022701,0.058789
PRKCI,0.04073,9.93E-06,4.43E-05,0.022673,0.058761
PHKA2,0.040716,1.00E-05,4.46E-05,0.022659,0.058747
RAB3IP,0.040609,1.05E-05,4.69E-05,0.022552,0.05864
MEN1,0.040519,1.10E-05,4.89E-05,0.022461,0.05855
ATP8A1,0.040364,1.19E-05,5.27E-05,0.022307,0.058396
PRRC1,0.04026,1.26E-05,5.53E-05,0.022202,0.058291
ANKRD27,0.040104,1.36E-05,5.92E-05,0.022046,0.058136
MIB1,0.040019,1.41E-05,6.16E-05,0.021961,0.058051
FBRSL1,0.03997,1.45E-05,6.30E-05,0.021912,0.058002
CSF3R,0.039835,1.55E-05,6.68E-05,0.021777,0.057867
DIS3,0.039785,1.59E-05,6.83E-05,0.021727,0.057818
RP11-572O17.1,0.039641,1.70E-05,7.30E-05,0.021583,0.057674
GADD45A,0.039484,1.84E-05,7.86E-05,0.021425,0.057517
CTDP1,0.039375,1.94E-05,8.25E-05,0.021316,0.057408
CNOT11,0.039317,2.00E-05,8.47E-05,0.021258,0.05735
RP4-728D4.2,0.039041,2.28E-05,9.65E-05,0.020981,0.057074
RP11-505K9.1,0.039003,2.32E-05,9.81E-05,0.020943,0.057036
SYTL1,0.038996,2.33E-05,9.83E-05,0.020937,0.057029
PIDD,0.038807,2.55E-05,1.07E-04,0.020748,0.056841
AC093323.3,0.038785,2.58E-05,1.08E-04,0.020726,0.056819
DEFA3,0.03876,2.61E-05,1.09E-04,0.0207,0.056794
PRLR,0.038702,2.69E-05,1.12E-04,0.020642,0.056736
MAP2K2,0.038608,2.81E-05,1.17E-04,0.020548,0.056642
HDAC4,0.038575,2.86E-05,1.19E-04,0.020515,0.056609
UBFD1,0.038534,2.91E-05,1.21E-04,0.020475,0.056569
CTB-55O6.12,0.03846,3.02E-05,1.25E-04,0.0204,0.056494
LIN7A,0.038369,3.15E-05,1.30E-04,0.020309,0.056403
RBM5,0.038287,3.28E-05,1.35E-04,0.020227,0.056322
MMP17,0.038225,3.37E-05,1.39E-04,0.020165,0.05626
PYGL,0.038222,3.38E-05,1.39E-04,0.020162,0.056257
SESN3,0.038198,3.42E-05,1.40E-04,0.020138,0.056234
CCDC88B,0.038142,3.51E-05,1.43E-04,0.020082,0.056177
PRRG4,0.03812,3.54E-05,1.44E-04,0.020059,0.056155
SLC22A4,0.037975,3.80E-05,1.54E-04,0.019915,0.056011
RGS3,0.037743,4.23E-05,1.71E-04,0.019682,0.055779
ST20,0.037681,4.36E-05,1.75E-04,0.019621,0.055717
PPP2R1B,0.037661,4.40E-05,1.77E-04,0.0196,0.055697
EPT1,0.037591,4.54E-05,1.82E-04,0.019531,0.055627
GPR141,0.037416,4.93E-05,1.97E-04,0.019355,0.055452
BTBD11,0.037382,5.01E-05,2.00E-04,0.019321,0.055419
TMEM170B,0.037275,5.26E-05,2.10E-04,0.019214,0.055311
PRKCQ-AS1,0.037158,5.56E-05,2.20E-04,0.019097,0.055195
ZNF281,0.037104,5.70E-05,2.26E-04,0.019042,0.05514
EIF1AY,0.037099,5.71E-05,2.26E-04,0.019038,0.055136
TIGD2,0.037026,5.90E-05,2.33E-04,0.018965,0.055064
CDKN2D,0.036954,6.10E-05,2.41E-04,0.018893,0.054991
SUN2,0.036905,6.24E-05,2.45E-04,0.018843,0.054942
RP11-284N8.3,0.036736,6.75E-05,2.64E-04,0.018675,0.054774
ALG6,0.036415,7.81E-05,3.03E-04,0.018353,0.054453
RRAGD,0.036399,7.86E-05,3.05E-04,0.018338,0.054438
RP11-499P20.2,0.036396,7.88E-05,3.05E-04,0.018334,0.054434
ANKRD35,0.036375,7.95E-05,3.07E-04,0.018314,0.054414
ZNF514,0.036138,8.85E-05,3.41E-04,0.018075,0.054176
H1FX,0.036082,9.07E-05,3.48E-04,0.01802,0.054121
GRK6,0.036068,9.13E-05,3.50E-04,0.018006,0.054106
C1orf216,0.035866,1.00E-04,3.81E-04,0.017804,0.053905
PRMT7,0.035709,1.07E-04,4.07E-04,0.017647,0.053749
ZNF692,0.035622,1.11E-04,4.22E-04,0.01756,0.053662
RP11-295G20.2,0.035607,1.12E-04,4.25E-04,0.017544,0.053646
SDPR,0.035591,1.13E-04,4.27E-04,0.017529,0.053631
ALS2,0.035587,1.13E-04,4.27E-04,0.017524,0.053626
SLC22A15,0.035561,1.15E-04,4.31E-04,0.017498,0.0536
ARMC5,0.035556,1.15E-04,4.31E-04,0.017493,0.053595
UBC,0.035555,1.15E-04,4.31E-04,0.017492,0.053594
PER2,0.035511,1.17E-04,4.38E-04,0.017448,0.05355
MSL2,0.035466,1.19E-04,4.46E-04,0.017404,0.053506
RP11-640M9.1,0.035458,1.20E-04,4.47E-04,0.017396,0.053498
PSMG3-AS1,0.035454,1.20E-04,4.47E-04,0.017391,0.053493
MBD1,0.035407,1.23E-04,4.56E-04,0.017344,0.053447
BPI,0.03537,1.25E-04,4.62E-04,0.017307,0.05341
C20orf24,0.035292,1.29E-04,4.77E-04,0.017229,0.053332
INTS8,0.035198,1.34E-04,4.95E-04,0.017135,0.053238
UBA1,0.035135,1.38E-04,5.07E-04,0.017072,0.053175
RP5-1074L1.4,0.034936,1.51E-04,5.49E-04,0.016872,0.052976
ZNF551,0.03492,1.52E-04,5.52E-04,0.016856,0.05296
GCLM,0.034859,1.56E-04,5.66E-04,0.016795,0.052899
RCBTB1,0.034819,1.59E-04,5.74E-04,0.016755,0.052859
INTS3,0.034788,1.61E-04,5.81E-04,0.016724,0.052829
FAR1,0.034678,1.69E-04,6.09E-04,0.016615,0.052719
FLOT2,0.034503,1.82E-04,6.54E-04,0.016439,0.052544
GNPDA2,0.034456,1.86E-04,6.67E-04,0.016392,0.052497
SETD8,0.034443,1.87E-04,6.70E-04,0.016379,0.052484
FLYWCH1,0.034255,2.03E-04,7.22E-04,0.016191,0.052297
KRI1,0.03399,2.27E-04,8.05E-04,0.015926,0.052032
RBM6,0.033832,2.43E-04,8.55E-04,0.015767,0.051874
HHEX,0.033769,2.49E-04,8.74E-04,0.015705,0.051812
FAM217B,0.033741,2.52E-04,8.84E-04,0.015677,0.051783
PEX6,0.033667,2.60E-04,9.11E-04,0.015602,0.051709
PYGO2,0.033628,2.65E-04,9.24E-04,0.015564,0.051671
DDX20,0.033599,2.68E-04,9.35E-04,0.015534,0.051641
GPR27,0.033343,2.98E-04,1.04E-03,0.015278,0.051386
RP11-231D20.2,0.033276,3.07E-04,1.07E-03,0.015211,0.051319
EPHB6,0.033167,3.21E-04,1.11E-03,0.015102,0.05121
VCPKMT,0.033088,3.32E-04,1.15E-03,0.015023,0.051131
SLC40A1,0.033016,3.42E-04,1.18E-03,0.014951,0.05106
MSL1,0.032922,3.56E-04,1.23E-03,0.014857,0.050966
MOGS,0.03287,3.63E-04,1.25E-03,0.014805,0.050914
CD55,0.032831,3.69E-04,1.27E-03,0.014766,0.050875
